coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Avalanche,AVAX,79.57540071515805,1851774181.9347076,0.54943315,1.13545139,6.73099005,2022-02-28T18:29:00.000Z
Avalanche,AVAX,79.602903093599,1851906402.6607246,0.51828584,1.17211164,6.77074239,2022-02-28T18:30:00.000Z
Avalanche,AVAX,79.61613736720162,1851648988.067297,0.40000748,1.19590576,6.8442312,2022-02-28T18:31:00.000Z
Avalanche,AVAX,79.61613736720162,1851648988.067297,0.40000748,1.19590576,6.8442312,2022-02-28T18:31:00.000Z
Avalanche,AVAX,79.6515914384235,1852002914.1896706,0.17814074,1.27032266,6.78770247,2022-02-28T18:33:00.000Z
Avalanche,AVAX,79.69478701063056,1851087237.264893,-0.01141552,1.4434508,6.94207416,2022-02-28T18:34:00.000Z
Avalanche,AVAX,80.06361748299392,1757937961.931007,0.27249034,6.25155921,7.31612899,2022-02-28T19:42:00.000Z
Avalanche,AVAX,80.2937261558319,1733617053.481855,0.17334355,8.61137707,6.91642691,2022-02-28T20:00:00.000Z
Avalanche,AVAX,80.2937261558319,1733617053.481855,0.17334355,8.61137707,6.91642691,2022-02-28T20:00:00.000Z
Avalanche,AVAX,80.2937261558319,1733617053.481855,0.17334355,8.61137707,6.91642691,2022-02-28T20:00:00.000Z
Avalanche,AVAX,80.37531648779627,1703791266.207286,0.85582906,8.64682538,6.86721598,2022-02-28T20:07:00.000Z
Avalanche,AVAX,80.51878445196749,1695138096.287191,0.65039862,8.66954619,7.63073849,2022-02-28T20:21:00.000Z
Avalanche,AVAX,86.90197888501284,2514234585.3373446,1.01894289,8.64719802,20.15938616,2022-03-01T19:22:00.000Z
Avalanche,AVAX,77.99956667064804,1431247439.525953,-0.2870415,-7.34922084,10.57003825,2022-03-03T17:03:00.000Z
Avalanche,AVAX,78.21674795744356,1429913865.9839811,0.0141267,-7.33688419,12.44735182,2022-03-03T17:15:00.000Z
Avalanche,AVAX,78.22206407549083,1430518059.7146552,0.11938346,-7.3567603,12.81636305,2022-03-03T17:16:00.000Z
Avalanche,AVAX,78.22206407549083,1430518059.7146552,0.11938346,-7.3567603,12.81636305,2022-03-03T17:16:00.000Z
Avalanche,AVAX,78.25354812589941,1431506922.5000303,-0.02300993,-7.28184567,12.6709252,2022-03-03T17:18:00.000Z
Avalanche,AVAX,78.25354812589941,1431506922.5000303,-0.02300993,-7.28184567,12.6709252,2022-03-03T17:18:00.000Z
Avalanche,AVAX,78.22597447326224,1432479790.474314,-0.2790191,-7.33625485,13.04454806,2022-03-03T17:22:00.000Z
Avalanche,AVAX,78.22597447326224,1432479790.474314,-0.2790191,-7.33625485,13.04454806,2022-03-03T17:22:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
Avalanche,AVAX,78.08286111932969,1432023879.3201475,-0.59160181,-7.44772466,12.75436799,2022-03-03T17:24:00.000Z
