coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Litecoin,LTC,109.02866777269055,890978316.1124252,0.70302819,1.55792522,0.53855731,2022-02-28T18:29:00.000Z
Litecoin,LTC,109.01789853602669,890988168.6804636,0.67948578,1.55226102,0.55662404,2022-02-28T18:30:00.000Z
Litecoin,LTC,108.9862036911037,891817458.2847924,0.60877557,1.51148808,0.68746664,2022-02-28T18:31:00.000Z
Litecoin,LTC,108.9862036911037,891817458.2847924,0.60877557,1.51148808,0.68746664,2022-02-28T18:31:00.000Z
Litecoin,LTC,109.00496553960149,891923789.3007233,0.58084235,1.52395191,0.69510867,2022-02-28T18:33:00.000Z
Litecoin,LTC,109.01413598707313,891578714.9387635,0.52269551,1.56933839,0.84758799,2022-02-28T18:34:00.000Z
Litecoin,LTC,109.14334454349986,875866165.4531246,0.13392245,3.74645757,0.25434072,2022-02-28T19:43:00.000Z
Litecoin,LTC,109.38734863015705,870561822.7537123,0.16056028,5.16544896,0.26069504,2022-02-28T20:00:00.000Z
Litecoin,LTC,109.38734863015705,870561822.7537123,0.16056028,5.16544896,0.26069504,2022-02-28T20:00:00.000Z
Litecoin,LTC,109.38734863015705,870561822.7537123,0.16056028,5.16544896,0.26069504,2022-02-28T20:00:00.000Z
Litecoin,LTC,109.48612449641509,863478554.6227726,0.51452855,6.01904087,0.19569594,2022-02-28T20:07:00.000Z
Litecoin,LTC,109.56086022264392,858810222.5045692,0.41778274,6.1362874,0.49794291,2022-02-28T20:21:00.000Z
Litecoin,LTC,112.71518047403355,1023439900.6807503,0.32947255,3.28909139,6.0213702,2022-03-01T19:22:00.000Z
Litecoin,LTC,109.98399245075512,808299723.077221,-0.06664072,-0.85454741,12.39497007,2022-03-03T17:03:00.000Z
Litecoin,LTC,110.07889194295042,811298669.1789318,0.0468942,-0.93477927,12.68826945,2022-03-03T17:15:00.000Z
Litecoin,LTC,110.17477053828344,811736681.4141262,0.25099527,-0.85672591,12.95023765,2022-03-03T17:16:00.000Z
Litecoin,LTC,110.17477053828344,811736681.4141262,0.25099527,-0.85672591,12.95023765,2022-03-03T17:16:00.000Z
Litecoin,LTC,110.18878792447597,811851741.0579948,0.20312666,-0.83659309,12.94700895,2022-03-03T17:18:00.000Z
