coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
NEAR Protocol,NEAR,9.202935482230885,397223135.543013,1.56280002,4.30219203,2.11173379,2022-02-28T18:29:00.000Z
NEAR Protocol,NEAR,9.204347314016054,397212240.00030804,1.56982113,4.31545021,2.13145363,2022-02-28T18:30:00.000Z
NEAR Protocol,NEAR,9.195833625520413,397911183.42628545,1.58451656,4.2055927,2.10615728,2022-02-28T18:31:00.000Z
NEAR Protocol,NEAR,9.195833625520413,397911183.42628545,1.58451656,4.2055927,2.10615728,2022-02-28T18:31:00.000Z
NEAR Protocol,NEAR,9.201334161590998,398059654.32621104,1.6326972,4.30487394,2.07776031,2022-02-28T18:33:00.000Z
NEAR Protocol,NEAR,9.210365684923643,399290008.6268896,1.60774682,4.57192559,2.31893628,2022-02-28T18:34:00.000Z
NEAR Protocol,NEAR,9.114261994070803,398924759.9394616,-0.79667587,6.41534783,0.55474778,2022-02-28T19:42:00.000Z
NEAR Protocol,NEAR,9.111596181958513,393425573.2262175,-1.22011571,8.02254963,0.05502807,2022-02-28T20:00:00.000Z
NEAR Protocol,NEAR,9.111596181958513,393425573.2262175,-1.22011571,8.02254963,0.05502807,2022-02-28T20:00:00.000Z
NEAR Protocol,NEAR,9.111596181958513,393425573.2262175,-1.22011571,8.02254963,0.05502807,2022-02-28T20:00:00.000Z
NEAR Protocol,NEAR,9.127414146400497,391747647.6874825,-0.48509595,8.55794839,-0.11803698,2022-02-28T20:07:00.000Z
NEAR Protocol,NEAR,9.149937279202106,390075879.06766415,0.1071654,8.70823887,0.7554926,2022-02-28T20:21:00.000Z
NEAR Protocol,NEAR,11.51697417786931,1471022467.6361263,0.92067997,26.03024124,31.47134952,2022-03-01T19:22:00.000Z
